ant_id,tag_id,head_tail_px,counts
1,31.0,255.8124312851117,2533842
2,84.0,318.23419049498756,2321580
3,85.0,273.6220020393097,2421913
4,86.0,281.4409351888953,2688097
5,87.0,308.22394455979565,1739241
6,88.0,348.67893541193445,2874871
7,89.0,281.11385593741187,2490467
8,90.0,414.38267338294924,2758192
9,91.0,280.44607324760307,2279202
10,92.0,287.83675929248517,1933031
11,93.0,293.4655005277451,2697253
12,94.0,302.78870520546184,2964852
13,95.0,312.313944613429,1995224
14,96.0,262.7622499523095,2669124
15,98.0,328.3428086619226,2714935
16,102.0,281.2045518834999,2420084
17,103.0,251.02390324429265,2496933
18,104.0,265.5880268385606,2466551
19,105.0,308.5741401997257,2596751
20,106.0,315.63428204173255,2762867
21,108.0,339.532030889576,2887512
22,109.0,362.5589607222528,2534357
23,110.0,299.87330658129616,1701720
24,111.0,279.1773629791642,2490946
25,112.0,323.19034639048243,2440877
26,113.0,272.85344051340087,2448723
28,115.0,227.1145085634117,2727003
29,116.0,272.94688127912366,2080889
30,117.0,327.8734511972569,2574088
31,118.0,262.56046922566236,2657370
32,119.0,294.36372059070055,1960288
33,120.0,566.0883323298582,1454650
34,121.0,257.0778092329246,2498694
35,122.0,297.0605998782067,1837201
36,124.0,227.3719419805355,2620827
37,125.0,325.85886515483963,2558779
39,129.0,301.1610864637063,2291644
40,130.0,315.8860554060593,226781
41,131.0,328.7689158056156,72487
42,132.0,321.449840566145,1426274
43,133.0,250.80071770232243,2801943
44,140.0,299.8282841894674,2226475
45,141.0,280.7436553156634,2790987
46,142.0,256.74306222369484,2779251
47,143.0,254.37963754986367,2844945
48,144.0,275.52313877422347,1798843
49,145.0,258.3737602776257,2561904
50,148.0,257.3810404827831,2718730
51,149.0,324.8876728963412,2206068
52,150.0,286.92333470807154,2600714
53,151.0,357.6772287971378,2733799
54,152.0,350.7078556291546,2242786
55,153.0,355.53480842246654,2808834
56,154.0,263.92802049043604,940426
57,155.0,289.7119258850074,2807003
58,156.0,261.841555143564,2793110
59,157.0,296.44561052577586,2273674
60,158.0,299.8666370238609,2383718
61,159.0,317.592506208821,2383064
62,160.0,275.7571395267945,2378743
63,161.0,350.0357124637428,2489423
64,162.0,287.4665197896965,1622898
65,163.0,332.6289223744683,2482609
66,164.0,264.7508262498911,94568
67,165.0,335.9121909070881,2495191
68,166.0,255.36052944807267,2570585
69,167.0,299.312545677591,2312220
70,168.0,261.23169792351,2737593
71,175.0,303.6083002817941,2072674
72,176.0,261.3063336392748,2903593
73,177.0,247.22661669003193,2569884
74,178.0,289.99482754007875,2815544
75,179.0,266.06953978236584,2145630
76,180.0,307.93668180325636,1965871
77,181.0,315.83065082414015,2747692
78,186.0,266.5426795093047,2064228
79,188.0,295.8952517361507,2393132
80,189.0,347.05619141574175,2510909
81,190.0,306.6349621292393,2415246
82,191.0,290.2447243275922,1646671
83,192.0,381.08266819681,2913156
84,193.0,308.87052303513843,1936948
85,195.0,278.7561658510893,2510004
86,196.0,255.180328395431,2371964
87,197.0,235.44001359157278,2293752
88,198.0,284.1144135731238,1200502
89,199.0,310.30468897520706,2146218
90,202.0,317.1277345171816,2942599
91,225.0,255.5621255194126,2444170
92,226.0,300.48627256498753,2888548
93,227.0,260.46112953759535,2769479
94,229.0,278.09710534272017,2033265
95,232.0,379.56290651221445,2483158
96,234.0,275.2889391167033,2223374
97,235.0,283.9330907097657,2734945
98,237.0,266.0018796926067,2752891
